country,total_arrivals
ABW,0
AFG,581
AGO,79
AIA,4
ALB,772
AND,133
ANT,2
ARE,6212
ARG,6630
ARM,910
ATA,1
ATG,199
AUS,357525
AUT,13701
AZE,2178
BDI,60
BEL,25545
BEN,154
BFA,106
BGD,334011
BGR,3930
BHR,2533
BHS,109
BIH,951
BLR,4687
BLZ,127
BMU,4
BOL,386
BRA,14521
BRB,118
BRN,1435830
BTN,857
BVT,0
BWA,184
CAF,5
CAN,81656
CCK,1
CHE,26591
CHL,4236
CHN,3211029
CIV,271
CMR,374
COD,222
COG,32
COK,0
COL,2834
COM,227
CPV,33
CRI,905
CUB,336
CYM,1
CYP,1071
CZE,10299
DEU,145502
DJI,160
DMA,642
DNK,19277
DOM,217
DZA,15158
ECU,1098
EGY,23158
ERI,208
ESP,61861
EST,3067
ETH,564
FIN,9590
FJI,2353
FRA,166747
FSM,31
GAB,128
GBR,345519
GEO,769
GHA,1480
GIB,3
GIN,775
GLP,0
GMB,293
GNB,7
GNQ,24
GRC,4040
GRD,204
GRL,2
GTM,325
GUM,1
GUY,121
HKG,16304
HMD,0
HND,233
HRV,2855
HTI,148
HUN,9185
IDN,3596939
IND,1214148
IOT,3
IRL,22017
IRN,24558
IRQ,17013
ISL,481
ISR,12
ITA,71702
JAM,328
JOR,11036
JPN,343665
KAZ,32171
KEN,6050
KGZ,4944
KHM,69226
KIR,23
KNA,916
KOR,477791
KWT,10684
LAO,23640
LBN,3713
LBR,117
LBY,3950
LCA,220
LIE,107
LKA,54385
LSO,74
LTU,6897
LUX,968
LVA,2768
MAC,69
MAR,22622
MCO,42
MDA,489
MDG,1482
MDV,33465
MEX,10059
MHL,42
MKD,723
MLI,157
MLT,709
MMR,145642
MNE,234
MNG,7469
MNP,0
MOZ,450
MRT,304
MUS,17485
MWI,268
MYT,0
NAM,195
NCL,1
NER,40
NGA,5137
NIC,120
NLD,82214
NOR,12740
NPL,84889
NRU,23
NZL,47050
OMN,22311
PAK,116427
PAN,401
PER,1967
PHL,506081
PLW,33
PNG,1285
POL,30034
PRI,1
PRK,1
PRT,13680
PRY,203
PSE,4140
QAT,2438
REU,0
ROU,10911
RUS,106814
RWA,121
SAU,59396
SDN,13126
SEN,802
SGP,15049829
SGS,0
SHN,2
SLB,236
SLE,391
SLV,215
SMR,43
SOM,2497
SPM,1
SRB,1970
SSD,367
STP,8
SUR,317
SVK,5881
SVN,3380
SWE,18498
SWZ,335
SYC,1179
SYR,8012
TCA,2
TCD,375
TGO,121
THA,1962819
TJK,2103
TKL,0
TKM,6829
TLS,2687
TON,220
TTO,463
TUN,10721
TUR,25067
TUV,10
TWN,369188
TZA,2486
UGA,2543
UKR,13611
URY,839
USA,256745
UZB,17210
VAT,9
VCT,31
VEN,1243
VNM,343800
VUT,1455
WSM,43
XXX,689
YEM,15000
ZAF,16785
ZAR,23
ZMB,895
ZWE,1943
